food_id,food_name,food_name_normalized,food_type,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,zinc_mg,cholesterol_mg,vitamin_a_mcg,beta_carotene_mcg,vitamin_c_mg,water_g,ash_g,magnesium_mg,phosphorus_mg,source_document,source_sheet,source_page,import_status,alanine_g,arginine_g,aspartic_acid_g,cystine_g,folate_mcg,glutamic_acid_g,glycine_g,histidine_g,isoleucine_g,leucine_g,lysine_g,methionine_g,mufa_g,mufa_pufa_g,niacin_mg,pantothenic_acid_mg,phenylalanine_g,proline_g,riboflavin_mg,saturated_fat_g,serine_g,thiamin_mg,threonine_g,tryptophan_g,tyrosine_g,valine_g,vitamin_b6_mg,vitamin_e_mg,vitamin_k_mcg
food_caramen,Caramen,caramen,mon_an,77.4,3.7,2.9,9.1,,,,69.0,0.7,,,,,,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_chao_long,Cháo lòng,chao long,mon_an,464.7,37.4,15.9,43.0,,2072.1,,109.5,22.3,5.0,220.6,2424.4,806.4,53.0,,,85.3,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_chao_oc_lon,Cháo óc lợn,chao oc lon,mon_an,211.0,10.2,8.6,23.2,0.1,243.7,72.3,15.1,1.8,1.3,1575.0,0.0,0.0,0.0,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_chao_suon,Cháo sườn,chao suon,mon_an,200.1,7.8,6.9,26.7,,55.3,,17.9,0.5,1.0,11.5,3.6,42.7,3.0,,,8.7,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_chao_thit,Cháo thịt,chao thit,mon_an,234.0,12.7,3.9,37.0,,172.3,,50.1,1.1,1.2,18.4,38.3,455.3,1.7,,,27.1,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_che_khuc_bach,Chè khúc bạch,che khuc bach,mon_an,284.5,8.2,13.9,31.6,,389.1,,187.6,1.0,1.1,42.0,51.8,22.0,21.3,,,70.8,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_che_thai,Chè Thái,che thai,mon_an,123.0,4.5,2.5,20.6,,216.5,,181.7,1.2,1.0,22.7,28.0,11.9,0.5,,,93.1,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_che_thap_cam,Chè thập cẩm,che thap cam,mon_an,442.0,13.3,6.2,83.3,,19.1,,144.5,7.9,1.9,0.6,1.1,13.5,1.2,,,151.4,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_che_xoai,Chè xoài,che xoai,mon_an,151.9,3.1,2.3,29.7,,34.8,,109.4,0.8,0.9,7.8,49.2,373.8,25.8,,,41.7,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_com_hen,Cơm hến,com hen,mon_an,291.0,18.0,6.3,40.1,,713.4,473.3,74.4,3.3,1.0,,,33.4,12.4,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_com_rang_thap_cam,Cơm rang thập cẩm,com rang thap cam,mon_an,623.1,19.9,21.9,86.6,1.5,1295.0,397.0,106.0,3.1,2.0,280.0,108.0,1545.0,2.0,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_com_suat_van_phong_thit_ba_chi_dau_phu,"Cơm suất văn phòng (Thịt ba chỉ, đậu phụ)","com suat van phong (thit ba chi, đau phu)",mon_an,680.0,26.0,24.0,90.0,3.0,2732.0,628.0,147.0,5.4,3.6,49.0,,1005.0,17.0,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_com_suat_van_phong_thit_nac_vai_dau_phu,"Cơm suất văn phòng (Thịt nạc vai, đậu phụ)","com suat van phong (thit nac vai, đau phu)",mon_an,759.0,29.9,26.3,100.7,,2059.0,893.0,151.0,5.2,6.0,44.0,,5225.0,69.0,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_com_suat_van_phong_thit_nac_vai_su_hao,"Cơm suất văn phòng (Thịt nạc vai, su hào)","com suat van phong (thit nac vai, su hao)",mon_an,650.0,25.1,18.9,94.9,,1892.0,851.0,121.0,2.9,5.1,47.0,,580.0,49.0,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_com_suon,Cơm sườn,com suon,mon_an,616.0,24.5,16.2,93.0,,63.0,549.0,52.5,2.5,4.9,55.2,,531.0,45.0,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_dau_phu_ran,Đậu phụ rán,đau phu ran,mon_an,139.0,8.7,11.3,,0.3,6.0,26.0,19.0,1.7,0.6,,,,,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_dau_trang_dau_tay_hat_kho,"Đậu trắng (đậu tây), hạt, khô","đau trang (đau tay), hat, kho",mon_an,341.3,23.2,2.1,57.4,3.6,,,160.0,6.8,,,0.8,10.0,,14.0,3.3,,514.0,tat_ca_mon_an.xlsx,nutrition_table,1,ready,0.551,1.62,1.976,0.133,394.0,3.564,0.68,0.6,0.95,1.46,1.16,0.3,0.1,,2.1,0.8,1.28,0.778,0.2,0.1,1.069,0.5,0.74,0.32,0.631,0.93,0.4,0.2,19.0
food_goi_ngo_sen,Gỏi ngó sen,goi ngo sen,mon_an,615.0,35.8,33.8,42.4,2.7,522.6,1159.0,913.0,5.7,1.6,161.2,18.6,1189.5,6.0,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_hanh_cu_muoi,Hành củ muối,hanh cu muoi,mon_an,,1.3,,3.6,0.6,306.0,,11.0,1.2,,,,16.2,,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_hoa_qua_dam,Hoa quả dầm,hoa qua dam,mon_an,297.2,6.2,6.1,54.3,,83.5,,234.0,3.1,1.2,14.6,198.1,1687.7,101.8,,,53.5,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_hu_tieu_nam_vang_nuoc,Hủ tiếu Nam vang nước,hu tieu nam vang nuoc,mon_an,482.6,31.5,17.0,50.9,,1596.0,,175.3,6.8,,326.5,1080.6,697.4,56.9,,,50.4,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_hu_tieu_nuoc,Hủ tiếu nước,hu tieu nuoc,mon_an,453.5,34.8,10.7,54.5,,580.1,465.6,59.3,10.2,3.3,239.0,1242.0,56.2,8.5,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_hu_tieu_xao_hai_san,Hủ tiếu xào hải sản,hu tieu xao hai san,mon_an,461.0,23.5,24.2,40.9,1.9,793.9,431.6,6.0,2.1,1.5,180.0,84.9,3831.8,27.6,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_kem_cacao,Kem cacao,kem cacao,mon_an,161.0,2.7,7.8,20.0,,,,0.7,0.4,,20.6,90.9,13.5,77.4,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_kem_com,Kem cốm,kem com,mon_an,139.2,2.2,5.9,,,42.0,,,0.2,0.2,,67.2,,,,,9.8,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_kem_dau_xanh,Kem đậu xanh,kem đau xanh,mon_an,139.1,2.2,5.9,19.3,,42.0,,,0.2,0.2,,67.2,,,,,9.8,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_kem_khoai_mon,Kem khoai môn,kem khoai mon,mon_an,141.2,2.3,6.0,19.6,,42.6,,,0.2,0.2,,68.2,,,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_kem_oc_que_cacao,Kem ốc quế cacao,kem oc que cacao,mon_an,195.3,3.4,8.1,27.2,,46.4,,70.8,0.8,0.4,,80.5,21.3,,,,17.7,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_kem_oc_que_vani,Kem ốc quế vani,kem oc que vani,mon_an,180.2,3.1,6.6,27.1,,37.2,,78.7,0.4,0.2,,61.9,9.8,,,,8.7,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_kem_sau_rieng,Kem sầu riêng,kem sau rieng,mon_an,137.2,2.2,5.8,19.0,,41.4,,,0.1,0.2,,66.2,,,,,9.7,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_kem_socola,Kem socola,kem socola,mon_an,134.9,2.2,6.0,18.1,,42.2,3.8,75.8,0.3,0.3,,68.8,,,,,12.1,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_kem_sua_dua,Kem sữa dừa,kem sua dua,mon_an,139.2,2.2,5.9,19.3,,42.0,,,0.2,0.2,,67.2,,,,,9.8,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_kem_trung,Kem trứng,kem trung,mon_an,218.9,8.9,16.0,9.9,,53.9,,77.1,4.8,2.5,960.0,465.7,42.2,,,,56.6,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_keo_ca_phe,Kẹo cà phê,keo ca phe,mon_an,11.0,,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.8,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_keo_dua,Kẹo dừa,keo dua,mon_an,20.0,0.0,0.6,3.7,0.1,0.0,0.0,0.7,0.0,0.0,,0.0,0.0,,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
